P,N,Method,Time
8,4096^2,leader,4.88241
8,4096^2,noleader,4.924945
8,4096^2,leader,5.011626
8,4096^2,noleader,5.031206
8,4096^2,leader,4.690415
8,4096^2,noleader,4.75992
8,4096^2,leader,4.873025
8,4096^2,noleader,5.339797
8,4096^2,leader,5.455722
8,4096^2,noleader,5.490392
12,4096^2,leader,4.980741
12,4096^2,noleader,5.065989
12,4096^2,leader,4.873025
12,4096^2,noleader,5.339797
12,4096^2,leader,6.030327
12,4096^2,noleader,6.147957
12,4096^2,leader,5.754658
12,4096^2,noleader,5.804026
12,4096^2,leader,5.45963
12,4096^2,noleader,5.475138
8,8192^2,leader,19.006281
8,8192^2,noleader,19.172385
8,8192^2,leader,19.398364
8,8192^2,noleader,24.748926
8,8192^2,leader,21.978163
8,8192^2,noleader,25.665574
8,8192^2,leader,16.841819
8,8192^2,noleader,19.880733
8,8192^2,leader,24.487058
8,8192^2,noleader,26.740307
12,8192^2,leader,22.554482
12,8192^2,noleader,26.389119
12,8192^2,leader,18.783649
12,8192^2,noleader,28.349476
12,8192^2,leader,25.248739
12,8192^2,noleader,27.129253
12,8192^2,leader,26.855486
12,8192^2,noleader,27.961464
12,8192^2,leader,23.485604
12,8192^2,noleader,32.803622
